%
% A list of all IMOS compliant parameter names, associated standard names from version 20
% (http://cf-pcmdi.llnl.gov/documents/cf-standard-names/standard-name-table/20/cf-standard-name-table.html/),
% units of measurement, fill values, and valid min/max values. This list has been copied 
% verbatim from the IMOS NetCDF User's manual version 1.3, and the IMOS NetCDF 
% File Naming Convention version 1.3. Entries are in the following format:
% 
%   parameter name, is cf parameter, standard/long name, units of measurement, data code, fillValue, validMin, validMax, NetCDF 3.6.0 type
%
% For parameters which are specified as a percentage, use the word 'percent' 
% in this file - this will be automatically converted into a '%' sign. This is 
% necessary because Matlab will interpret literal '%' signs as the beginining 
% of a comment.
%

PRES,                1, sea_water_pressure,                                                             dbar,                              Z, 999999.0, -5.0,    12000.0,  float
PRES_REL,            0, sea_water_relative_pressure,                                                    dbar,                              Z, 999999.0, -15.0,   12000.0,  float
PSAL,                1, sea_water_salinity,                                                             psu,                               S, 999999.0, 2.0,     41.0,     float
Q,                   1, specific_humidity,                                                              ,                                  M, 999999.0, 0.0,     150.0,    float
RRATE,               1, rainfall_rate,                                                                  mm s-1,                            M, 999999.0, ,        ,         float
RAIN_AMOUNT,         1, thickness_of_rainfall_amount,                                                   m,                                 M, 999999.0, ,        ,         float
RELH,                1, relative_humidity,                                                              percent,                           M, 999999.0, 0.0,     150.0,    float
ROLL,                1, platform_roll_angle,                                                            Degrees,                           E, 999999.0, -180.0,  180.0,    float
SLCA,                1, mole_concentration_of_silicate_in_sea_water,                                    umole l-1,                         K, 999999.0, ,        ,         float
SLC2,                1, moles_of_silicate_per_unit_mass_in_sea_water,                                   umole kg-1,                        K, 999999.0, ,        ,         float
SPEC_CNDC,           0, sea_water_specific_electrical_conductivity,                                     S m-1,                             C, 999999.0, 0.0,     50000.0,  float
SRAD,                1, isotropic_shortwave_radiance_in_air,                                            W m-1 sr-1,                        F, 999999.0, ,        ,         float
SSPD,                1, speed_of_sound_in_sea_water,                                                    m s-1,                             V, 999999.0, 1400.0,  1600.0,   float
SST,                 1, sea_surface_skin_temperature,                                                   Celsius,                           T, 999999.0, ,        ,         float
SSDS,                0, sea_surface_wave_directional_spread,                                            Degrees clockwise from true North, W, 999999.0, 0.0,     360.0,    float
SSWD,                0, sea_surface_wave_direction_spectral_density,                                    Degrees clockwise from true North, W, 999999.0, 0.0,     360.0,    float
SSWP,                1, sea_surface_swell_wave_period,                                                  Second,                            W, 999999.0, 0.0,     900000.0, float
SSWV,                1, sea_surface_wave_directional_variance_spectral_density,                         m2 s deg-1,                        W, 999999.0, ,        ,         float
SW,                  1, surface_downwelling_shortwave_flux_in_air,                                      W m-2,                             F, 999999.0, ,        ,         float
SW_NET,              1, surface_net_upward_shortwave_flux,                                              W m-2,                             F, 999999.0, ,        ,         float
TAU,                 1, magnitude_of_surface_downward_stress,                                           Pascal,                            F, 999999.0, ,        ,         float
TEMP,                1, sea_water_temperature,                                                          Celsius,                           T, 999999.0, -2.5,    40.0,     float
TIME,                1, time,                                                                           s,                                 ,  999999.0, 0.0,     90000.0,  double
TURB,                0, turbidity,                                                                      NTU,                               U, 999999.0, 0.0,     1000.0,   float
UCUR,                1, eastward_sea_water_velocity,                                                    m s-1,                             V, 999999.0, -10.0,   10.0,     float
UWND,                1, eastward_wind,                                                                  m s-1,                             M, 999999.0, ,        ,         float
VAVH,                1, sea_surface_wave_significant_height,                                            m,                                 W, 999999.0, ,        ,         float
VAVT,                1, sea_surface_wave_zero_upcrossing_period,                                        s,                                 W, 999999.0, ,        ,         float
VBSC,                0, volumetric_backscatter_coefficient,                                             m-1 sr-1,                          E, 999999.0, ,        ,         float
VCUR,                1, northward_sea_water_velocity,                                                   m s-1,                             V, 999999.0, -10.0,   10.0,     float
